,Planned stop time,Unplanned stop time
2023-09-06,0.0,61.0
2023-09-07,0.0,10.999999999999993
2023-09-08,0.0,15.0
2023-09-09,0.0,9.0
2023-09-10,0.0,11.0
2023-09-11,60.0,11.0
2023-09-12,580.0,36.0
2023-09-13,1.0,5.0
2023-09-14,33.992891767323584,92.62329722045631
2023-09-15,33.992891767323584,92.62329722045631
2023-09-16,33.992891767323584,92.62329722045631
2023-09-17,33.992891767323584,92.62329722045631
2023-09-18,33.992891767323584,92.62329722045631
2023-09-19,0.0,78.0
2023-09-20,0.0,14.0
2023-09-21,0.0,11.0
2023-09-22,120.722610281133,122.50523283534646
2023-09-23,120.722610281133,122.50523283534646
2023-09-24,120.722610281133,122.50523283534646
2023-09-25,0.0,624.0
2023-09-26,12.0,6.0
2023-09-27,0.0,8.0
2023-09-28,60.0,10.0
2023-09-29,450.0,43.0
2023-09-30,115.13074759836124,41.48885842692661
2023-10-01,115.13074759836124,41.48885842692661
2023-10-02,115.13074759836124,41.48885842692661
2023-10-03,115.13074759836124,41.48885842692661
2023-10-04,115.13074759836124,41.48885842692661
2023-10-05,115.13074759836124,41.48885842692661
2023-10-06,195.0,72.0
2023-10-07,154.05349782792962,95.07653148619058
2023-10-08,154.05349782792962,95.07653148619058
2023-10-09,154.05349782792962,95.07653148619058
2023-10-10,154.05349782792962,95.07653148619058
2023-10-11,154.05349782792962,95.07653148619058
2023-10-12,154.05349782792962,95.07653148619058
2023-10-13,154.05349782792962,95.07653148619058
2023-10-14,154.05349782792962,95.07653148619058
2023-10-15,154.05349782792962,95.07653148619058
2023-10-16,0.0,77.0
2023-10-17,0.0,15.000000000000007
2023-10-18,0.0,4.0
2023-10-19,38.32622510065691,90.03996388712298
2023-10-20,38.32622510065691,90.03996388712298
2023-10-21,38.32622510065691,90.03996388712298
2023-10-22,38.32622510065691,90.03996388712298
2023-10-23,38.32622510065691,90.03996388712298
2023-10-24,38.32622510065691,90.03996388712298
2023-10-25,38.32622510065691,90.03996388712298
2023-10-26,38.32622510065691,90.03996388712298
2023-10-27,38.32622510065691,90.03996388712298
2023-10-28,38.32622510065691,90.03996388712298
2023-10-29,38.32622510065691,90.03996388712298
2023-10-30,0.0,60.0
2023-10-31,0.0,25.0
2023-11-01,0.0,424.00000000000006
2023-11-02,0.0,18.0
2023-11-03,0.0,0.0
2023-11-04,0.0,19.566262714558164
2023-11-05,0.0,19.566262714558164
2023-11-06,0.0,19.566262714558164
2023-11-07,0.0,19.566262714558164
2023-11-08,0.0,19.566262714558164
2023-11-09,0.0,19.566262714558164
2023-11-10,0.0,93.0
2023-11-11,0.0,16.0
2023-11-12,0.0,15.0
2023-11-13,0.0,2.0
2023-11-14,94.30349782792963,51.65986481952392
2023-11-15,94.30349782792963,51.65986481952392
2023-11-16,94.30349782792963,51.65986481952392
2023-11-17,94.30349782792963,51.65986481952392
2023-11-18,0.0,109.0
2023-11-19,0.0,18.0
2023-11-20,0.0,18.000000000000007
2023-11-21,0.0,6.0
2023-11-22,0.0,83.67117989333897
2023-11-23,0.0,83.67117989333897
2023-11-24,0.0,83.67117989333897
2023-11-25,0.0,83.67117989333897
2023-11-26,0.0,83.67117989333897
2023-11-27,0.0,83.67117989333897
2023-11-28,0.0,83.67117989333897
2023-11-29,0.0,83.67117989333897
2023-11-30,0.0,83.67117989333897
2023-12-01,0.0,83.67117989333897
2023-12-02,0.0,83.67117989333897
2023-12-03,0.0,83.67117989333897
2023-12-04,0.0,83.67117989333897
2023-12-05,0.0,83.67117989333897
2023-12-06,0.0,83.67117989333897
2023-12-07,0.0,83.67117989333897
2023-12-08,0.0,83.67117989333897
2023-12-09,0.0,83.67117989333897
2023-12-10,0.0,83.67117989333897
2023-12-11,0.0,83.67117989333897
2023-12-12,0.0,83.67117989333897
2023-12-13,0.0,83.67117989333897
2023-12-14,0.0,83.67117989333897
2023-12-15,0.0,83.67117989333897
2023-12-16,0.0,125.0
2023-12-17,0.0,16.999999999999986
2023-12-18,15.68094361446634,128.5468995020131
2023-12-19,15.68094361446634,128.5468995020131
2023-12-20,15.68094361446634,128.5468995020131
2023-12-21,0.0,134.0
2023-12-22,0.0,7.0
2023-12-23,0.0,34.48292938122482
2023-12-24,0.0,34.48292938122482
2023-12-25,0.0,34.48292938122482
2023-12-26,0.0,34.48292938122482
2023-12-27,0.0,34.48292938122482
2023-12-28,0.0,34.48292938122482
2023-12-29,0.0,34.48292938122482
2023-12-30,0.0,34.48292938122482
2023-12-31,0.0,34.48292938122482
2024-01-01,0.0,34.48292938122482
2024-01-02,0.0,34.48292938122482
2024-01-03,0.0,34.48292938122482
2024-01-04,0.0,34.48292938122482
2024-01-05,0.0,34.48292938122482
2024-01-06,0.0,34.48292938122482
2024-01-07,0.0,34.48292938122482
2024-01-08,0.0,34.48292938122482
2024-01-09,0.0,34.48292938122482
2024-01-10,0.0,34.48292938122482
2024-01-11,0.0,34.48292938122482
2024-01-12,0.0,34.48292938122482
2024-01-13,0.0,34.48292938122482
2024-01-14,0.0,34.48292938122482
2024-01-15,0.0,34.48292938122482
2024-01-16,0.0,34.48292938122482
2024-01-17,0.0,34.48292938122482
2024-01-18,0.0,34.48292938122482
2024-01-19,0.0,34.48292938122482
2024-01-20,0.0,34.48292938122482
2024-01-21,0.0,34.48292938122482
2024-01-22,0.0,376.0
2024-01-23,0.0,132.0
2024-01-24,0.0,16.0
2024-01-25,0.0,2.0
2024-01-26,94.30349782792963,85.5343306314896
2024-01-27,94.30349782792963,85.5343306314896
2024-01-28,94.30349782792963,85.5343306314896
2024-01-29,94.30349782792963,85.5343306314896
2024-01-30,94.30349782792963,85.5343306314896
2024-01-31,94.30349782792963,85.5343306314896
2024-02-01,94.30349782792963,85.5343306314896
2024-02-02,94.30349782792963,85.5343306314896
2024-02-03,0.0,111.0
2024-02-04,0.0,17.0
2024-02-05,0.0,17.0
